,DTM_Accuracy,DTM_Precision,DTM_Recall,DTM_F1-Score,DTM_TN,DTM_FP,DTM_FN,DTM_TP,TFIDF_Accuracy,TFIDF_Precision,TFIDF_Recall,TFIDF_F1-Score,TFIDF_TN,TFIDF_FP,TFIDF_FN,TFIDF_TP
model_nn,94.5,94.5,94.5,94.5,94,6,5,95,92.5,93.0,92.5,92.5,98,2,13,87
model_nb,91.5,92.0,91.5,91.5,97,3,14,86,89.5,90.2,89.5,89.5,96,4,17,83
model_nbb,84.5,87.7,84.5,84.2,70,30,1,99,84.5,87.7,84.5,84.2,70,30,1,99
model_mnb,95.0,95.1,95.0,95.0,97,3,7,93,94.5,94.6,94.5,94.5,97,3,8,92
model_knn,72.5,77.0,72.5,71.3,93,7,48,52,77.5,83.1,77.5,76.5,98,2,43,57
model_rf,86.5,86.7,86.5,86.5,83,17,10,90,84.0,84.1,84.0,84.0,87,13,19,81
model_lr,89.0,89.6,89.0,89.0,83,17,5,95,92.0,92.0,92.0,92.0,91,9,7,93
model_svm,55.0,72.2,55.0,44.2,11,89,1,99,91.0,91.0,91.0,91.0,90,10,8,92
model_svm1,88.5,89.2,88.5,88.5,82,18,5,95,91.0,91.0,91.0,91.0,90,10,8,92
model_xgb,83.5,84.5,83.5,83.4,75,25,8,92,82.0,84.3,82.0,81.7,69,31,5,95
